"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CNN2.5",1.88388405541701e-05,-0.523064253861289,0.438,0.514,0.326194524195455,"Monocyte CD16","CNN2"
"ZFAND3.1",1.90378296165633e-05,0.26660089282879,0.236,0.135,0.329640019810793,"Monocyte CD16","ZFAND3"
"TNFRSF14",1.94151216303125e-05,0.318886781761578,0.455,0.309,0.336172831028861,"Monocyte CD16","TNFRSF14"
"MGRN1",2.01177468522698e-05,0.306197116824764,0.185,0.096,0.348338786747051,"Monocyte CD16","MGRN1"
"TTN.5",2.05030232299787e-05,-0.564394747045514,0.017,0.101,0.355009847227081,"Monocyte CD16","TTN"
"EIF4A2.1",2.09327765204316e-05,-0.460074909428613,0.352,0.458,0.362451025451274,"Monocyte CD16","EIF4A2"
"SH3YL1.5",2.10584217222057e-05,-0.439332359005006,0.026,0.112,0.364626572119991,"Monocyte CD16","SH3YL1"
"SRA1.3",2.30928957788335e-05,0.257115852735934,0.249,0.141,0.399853490410502,"Monocyte CD16","SRA1"
"GRK6",2.45152353207967e-05,0.290249573337122,0.391,0.252,0.424481299579596,"Monocyte CD16","GRK6"
"EBLN3P.3",2.53564723554627e-05,-0.534651531623823,0.099,0.202,0.439047318834837,"Monocyte CD16","EBLN3P"
"BTG3.2",2.54219009137409e-05,-0.386090415208662,0.017,0.101,0.440180214321423,"Monocyte CD16","BTG3"
"JAK1.4",2.66769787660482e-05,-0.510492723087069,0.614,0.638,0.461911887334124,"Monocyte CD16","JAK1"
"CD44.4",2.67013495594862e-05,0.293450960525422,0.781,0.624,0.462333867622504,"Monocyte CD16","CD44"
"DENND4B.1",2.77538428902461e-05,0.250320201770661,0.142,0.069,0.48055778964461,"Monocyte CD16","DENND4B"
"CDC42SE2.2",2.77573624808713e-05,-0.551532912505701,0.206,0.316,0.480618731356286,"Monocyte CD16","CDC42SE2"
"NLRC3.3",2.85750373210801e-05,-0.377419771286508,0.017,0.1,0.494776771214503,"Monocyte CD16","NLRC3"
"SNHG9.2",3.02190951408735e-05,-0.482769583011341,0.047,0.14,0.523243632364224,"Monocyte CD16","SNHG9"
"ARMH1.5",3.11755141176469e-05,-0.404213676208345,0.021,0.105,0.539804026947057,"Monocyte CD16","ARMH1"
"AHCY",3.18982234832529e-05,0.253002141099318,0.155,0.077,0.552317739612524,"Monocyte CD16","AHCY"
"BTF3L4",3.21887854947798e-05,0.315794222524741,0.24,0.137,0.557348820842112,"Monocyte CD16","BTF3L4"
"CAST.5",3.24507022970459e-05,0.291062081423523,0.622,0.441,0.56188391027335,"Monocyte CD16","CAST"
"TES.2",3.27386792326429e-05,0.25008823107172,0.309,0.187,0.566870230913212,"Monocyte CD16","TES"
"NME2.7",3.29964853596462e-05,0.274140568247673,0.781,0.633,0.571334144002273,"Monocyte CD16","NME2"
"HADHA",3.30439652837852e-05,0.365809937907171,0.468,0.325,0.57215625888874,"Monocyte CD16","HADHA"
"TAOK1",3.32398117130061e-05,0.310339411449458,0.189,0.101,0.575547339810701,"Monocyte CD16","TAOK1"
"ARF6.3",3.33984495868337e-05,0.259968296897725,0.554,0.391,0.578294154596026,"Monocyte CD16","ARF6"
"PKN2.1",3.34193971733246e-05,0.382011263906558,0.279,0.168,0.578656862056115,"Monocyte CD16","PKN2"
"TBC1D9B",3.38848839816754e-05,0.312346220161073,0.167,0.088,0.586716766142709,"Monocyte CD16","TBC1D9B"
"OXR1",3.46853891339758e-05,0.274715165285326,0.172,0.09,0.600577512854792,"Monocyte CD16","OXR1"
"CRTC3",3.64757900281531e-05,-0.391829770433093,0.03,0.117,0.631578304337472,"Monocyte CD16","CRTC3"
"UQCRC2",3.70234318281945e-05,0.288049737075169,0.343,0.21,0.641060722105188,"Monocyte CD16","UQCRC2"
"TBC1D1",3.75296268489291e-05,0.259285635950583,0.223,0.126,0.649825488889207,"Monocyte CD16","TBC1D1"
"SNF8",3.81841147198535e-05,0.29897056413746,0.262,0.152,0.661157946374264,"Monocyte CD16","SNF8"
"HLA-C.7",3.84041705251604e-05,-0.338876570886193,0.931,0.951,0.664968212643153,"Monocyte CD16","HLA-C"
"LARP4B",3.89607563701068e-05,0.260662880091399,0.124,0.058,0.674605496548399,"Monocyte CD16","LARP4B"
"EIF3A.1",3.91583339412067e-05,0.322587914695054,0.468,0.325,0.678026552191994,"Monocyte CD16","EIF3A"
"SVIP.1",3.93382600942056e-05,-0.422833725982096,0.026,0.109,0.681141973531171,"Monocyte CD16","SVIP"
"CXXC5.6",3.98102282082241e-05,-0.507244213323143,0.034,0.121,0.6893141014254,"Monocyte CD16","CXXC5"
"TUBA1A.4",3.98945396263216e-05,0.255257829011293,0.777,0.667,0.690773953629759,"Monocyte CD16","TUBA1A"
"GPCPD1.3",4.09232613261775e-05,0.322427546140743,0.283,0.172,0.708586269862763,"Monocyte CD16","GPCPD1"
"TAF10",4.1061958257355e-05,0.262871814293067,0.223,0.128,0.710987807226102,"Monocyte CD16","TAF10"
"HCG18",4.21074172112779e-05,-0.399706362329842,0.03,0.117,0.729089929013277,"Monocyte CD16","HCG18"
"SSNA1",4.26544337124629e-05,0.275867680801735,0.395,0.258,0.738561519731294,"Monocyte CD16","SSNA1"
"ANP32E.2",4.29737642250482e-05,-0.460601526501407,0.107,0.208,0.74409072755671,"Monocyte CD16","ANP32E"
"TMEM109.4",4.35992457579047e-05,-0.441399942857838,0.082,0.181,0.754920940298121,"Monocyte CD16","TMEM109"
"DENND4C.1",4.44385941906033e-05,-0.416507313851643,0.026,0.109,0.769454258410296,"Monocyte CD16","DENND4C"
"EIF4A1.3",4.45784852464623e-05,0.264526335727488,0.318,0.198,0.771876472042495,"Monocyte CD16","EIF4A1"
"NFAT5.1",4.5517572844343e-05,0.286369955621908,0.18,0.095,0.788136773799799,"Monocyte CD16","NFAT5"
"BCL9L.4",4.55946688346356e-05,-0.430034443786523,0.021,0.101,0.789471690871716,"Monocyte CD16","BCL9L"
"TSEN54.5",4.61763354291105e-05,-0.493323362231064,0.052,0.141,0.799543247955048,"Monocyte CD16","TSEN54"
"FAM107B.2",5.07155165630402e-05,-0.54512015389191,0.202,0.301,0.87813916928904,"Monocyte CD16","FAM107B"
"P4HA1",5.1190783370579e-05,0.282769878097714,0.112,0.051,0.886368414061576,"Monocyte CD16","P4HA1"
"TMC8.3",5.15679190312954e-05,-0.510784201335883,0.112,0.214,0.89289851802688,"Monocyte CD16","TMC8"
"RPL7.4",5.21107303226329e-05,-0.2985849339263,0.734,0.768,0.902297295536389,"Monocyte CD16","RPL7"
"ADD3.2",5.23485543631638e-05,-0.453019428761521,0.266,0.363,0.906415218798181,"Monocyte CD16","ADD3"
"SRSF8.1",5.26882643926445e-05,-0.487115773175036,0.06,0.15,0.91229729795864,"Monocyte CD16","SRSF8"
"INPP5D.3",5.34920736890521e-05,0.274375731924041,0.283,0.173,0.926215255925937,"Monocyte CD16","INPP5D"
"ARHGAP4",5.42017902244532e-05,0.319697183775072,0.446,0.307,0.938503997736407,"Monocyte CD16","ARHGAP4"
"UBE2D2.1",5.48060758878497e-05,-0.430712327926777,0.464,0.523,0.948967203998118,"Monocyte CD16","UBE2D2"
"RPL13A.3",5.50343513719401e-05,-0.41283836162764,0.725,0.746,0.952919794005144,"Monocyte CD16","RPL13A"
"NDUFA12.2",5.57062909196431e-05,0.259708937030984,0.472,0.323,0.964554427273621,"Monocyte CD16","NDUFA12"
"EFCAB2.3",5.67295089645605e-05,0.250255308138516,0.197,0.109,0.982271447721364,"Monocyte CD16","EFCAB2"
"S100A12.8",6.40118894542717e-05,-1.41107269660264,0.047,0.133,1,"Monocyte CD16","S100A12"
"RASA2.3",6.44085068543441e-05,-0.472707201885193,0.094,0.193,1,"Monocyte CD16","RASA2"
"OXSR1",6.58798319747113e-05,0.312559278537794,0.163,0.085,1,"Monocyte CD16","OXSR1"
"ARHGAP30.1",6.62799197335681e-05,0.294314488959226,0.451,0.315,1,"Monocyte CD16","ARHGAP30"
"SYTL1.4",7.65324579848502e-05,0.294128387988358,0.446,0.299,1,"Monocyte CD16","SYTL1"
"TLK1.1",7.65930824685628e-05,-0.527056164307951,0.133,0.235,1,"Monocyte CD16","TLK1"
"IL27RA",7.83081856184067e-05,-0.349925462523254,0.082,0.18,1,"Monocyte CD16","IL27RA"
"SELENOM.4",8.16707801977817e-05,-0.434545153317863,0.056,0.143,1,"Monocyte CD16","SELENOM"
"CCNG1.2",8.20301391991657e-05,-0.495384777722692,0.09,0.182,1,"Monocyte CD16","CCNG1"
"RC3H1",8.36056500247544e-05,0.294089755192558,0.193,0.11,1,"Monocyte CD16","RC3H1"
"DNAAF2.3",8.37186582679109e-05,-0.484728661998626,0.082,0.175,1,"Monocyte CD16","DNAAF2"
"GRAP2.2",8.41625598963005e-05,-0.589606539072139,0.03,0.111,1,"Monocyte CD16","GRAP2"
"CRY2",8.70602187904198e-05,0.269533048167475,0.137,0.07,1,"Monocyte CD16","CRY2"
"DOCK11.2",8.79304194464437e-05,0.337930195604341,0.206,0.118,1,"Monocyte CD16","DOCK11"
"SUN2.5",9.60634685340863e-05,-0.560206182160155,0.335,0.418,1,"Monocyte CD16","SUN2"
"EIF3E.6",9.7998267854137e-05,-0.492215897092018,0.464,0.507,1,"Monocyte CD16","EIF3E"
"MX1",9.84969900554111e-05,0.295793846365657,0.189,0.105,1,"Monocyte CD16","MX1"
"TUT7.1",9.89190685113346e-05,0.333776843087121,0.197,0.112,1,"Monocyte CD16","TUT7"
"ZNF22.2",0.000105354342293579,-0.422332019269929,0.043,0.125,1,"Monocyte CD16","ZNF22"
"RBM7",0.000109011603761299,0.251462403302702,0.193,0.109,1,"Monocyte CD16","RBM7"
"RASA3.3",0.000109043632433278,-0.506627942902468,0.185,0.28,1,"Monocyte CD16","RASA3"
"YPEL3.1",0.000114811895219882,-0.529382541178591,0.172,0.264,1,"Monocyte CD16","YPEL3"
"DOP1B",0.000120452168864415,0.263235542905684,0.116,0.056,1,"Monocyte CD16","DOP1B"
"ATP6V0E1.4",0.00012478056691175,0.289667231949997,0.554,0.405,1,"Monocyte CD16","ATP6V0E1"
"CHD2",0.000126730166948996,-0.344324872868484,0.21,0.327,1,"Monocyte CD16","CHD2"
"RSAD1",0.000131283992822446,-0.387342015055868,0.034,0.112,1,"Monocyte CD16","RSAD1"
"PRDM1.4",0.000133971187422051,-0.380150793106379,0.026,0.101,1,"Monocyte CD16","PRDM1"
"LASP1.2",0.000136454728005669,0.291463308691323,0.236,0.14,1,"Monocyte CD16","LASP1"
"CHD3.3",0.000137266353785525,-0.440011220021306,0.137,0.235,1,"Monocyte CD16","CHD3"
"RABGAP1L.2",0.000137467865984389,0.27692499047782,0.309,0.197,1,"Monocyte CD16","RABGAP1L"
"MAML2.3",0.00013821371254076,-0.502039085972283,0.064,0.15,1,"Monocyte CD16","MAML2"
"ENO1.2",0.00014555475713283,0.277801979675065,0.618,0.474,1,"Monocyte CD16","ENO1"
"NMRK1.2",0.000146686859158048,-0.371010228181843,0.039,0.119,1,"Monocyte CD16","NMRK1"
"PRR14L",0.000148402792152227,0.317137410264988,0.146,0.076,1,"Monocyte CD16","PRR14L"
"TSC22D3.2",0.000154520775771392,-0.366337019563626,0.845,0.875,1,"Monocyte CD16","TSC22D3"
"AAK1.4",0.000154852478248564,-0.516512571435073,0.163,0.255,1,"Monocyte CD16","AAK1"
"OSTF1.3",0.000158464821022317,0.262097036291931,0.472,0.341,1,"Monocyte CD16","OSTF1"
"SNX17",0.000160139042106583,0.274901433291829,0.348,0.227,1,"Monocyte CD16","SNX17"
"KARS1",0.000160904927086853,0.357510270909,0.189,0.108,1,"Monocyte CD16","KARS1"
"GGA1.1",0.000169269129837707,0.264854388831598,0.193,0.111,1,"Monocyte CD16","GGA1"
"ARHGAP9.4",0.000170249348709906,-0.535729856265423,0.206,0.303,1,"Monocyte CD16","ARHGAP9"
"CHMP1B.3",0.000177509602929686,0.270150426259874,0.326,0.209,1,"Monocyte CD16","CHMP1B"
"PTPRC.6",0.000179782302584888,0.387012239226424,0.91,0.821,1,"Monocyte CD16","PTPRC"
"PBXIP1.5",0.000180366615062527,-0.416344343584885,0.146,0.243,1,"Monocyte CD16","PBXIP1"
"RRP1B.1",0.000182499212541624,-0.370705891849191,0.047,0.129,1,"Monocyte CD16","RRP1B"
"MTMR14.1",0.000190300914638054,0.252401379067306,0.249,0.148,1,"Monocyte CD16","MTMR14"
"BDP1.1",0.000196157734068366,-0.524058446061776,0.129,0.219,1,"Monocyte CD16","BDP1"
"WHAMM.1",0.000202366582715485,-0.47439193537229,0.129,0.222,1,"Monocyte CD16","WHAMM"
