"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY",0,2.50570623880367,0.998,0.292,0,"T_CD8_c07-TYROBP","GNLY"
"FGFBP2",0,2.09557124903593,0.927,0.23,0,"T_CD8_c07-TYROBP","FGFBP2"
"GZMB",0,2.07706278913185,0.968,0.243,0,"T_CD8_c07-TYROBP","GZMB"
"GZMH",0,2.04791217705323,0.965,0.258,0,"T_CD8_c07-TYROBP","GZMH"
"NKG7",0,2.02226076519361,1,0.41,0,"T_CD8_c07-TYROBP","NKG7"
"CST7",0,1.96596105065463,0.993,0.377,0,"T_CD8_c07-TYROBP","CST7"
"CCL5",0,1.94907909968342,0.998,0.421,0,"T_CD8_c07-TYROBP","CCL5"
"PRF1",0,1.82622862535013,0.921,0.292,0,"T_CD8_c07-TYROBP","PRF1"
"CTSW",0,1.81116004998823,0.961,0.393,0,"T_CD8_c07-TYROBP","CTSW"
"FCGR3A",0,1.63738309297964,0.797,0.182,0,"T_CD8_c07-TYROBP","FCGR3A"
"KLRD1",0,1.61504566845712,0.844,0.243,0,"T_CD8_c07-TYROBP","KLRD1"
"HOPX",0,1.57127123405008,0.762,0.229,0,"T_CD8_c07-TYROBP","HOPX"
"GZMA",0,1.53468078119457,0.891,0.318,0,"T_CD8_c07-TYROBP","GZMA"
"KLRF1",0,1.49958717616352,0.609,0.106,0,"T_CD8_c07-TYROBP","KLRF1"
"ADGRG1",0,1.48313932255207,0.645,0.139,0,"T_CD8_c07-TYROBP","ADGRG1"
"TRBC1",0,1.46383739494376,0.77,0.338,0,"T_CD8_c07-TYROBP","TRBC1"
"CD247",0,1.38537965467317,0.869,0.451,0,"T_CD8_c07-TYROBP","CD247"
"CLIC3",0,1.3355146745173,0.564,0.144,0,"T_CD8_c07-TYROBP","CLIC3"
"SPON2",0,1.32513501873263,0.63,0.176,0,"T_CD8_c07-TYROBP","SPON2"
"S1PR5",0,1.28217683341922,0.633,0.168,0,"T_CD8_c07-TYROBP","S1PR5"
"TRDC",0,1.25879528814929,0.454,0.075,0,"T_CD8_c07-TYROBP","TRDC"
"TTC38",0,1.24644797586276,0.54,0.126,0,"T_CD8_c07-TYROBP","TTC38"
"IFITM2",0,1.21175235741002,0.901,0.647,0,"T_CD8_c07-TYROBP","IFITM2"
"FCRL6",0,1.18073733374273,0.518,0.123,0,"T_CD8_c07-TYROBP","FCRL6"
"C12orf75",0,1.1528831292494,0.651,0.257,0,"T_CD8_c07-TYROBP","C12orf75"
"KLRC2",0,1.14943044585941,0.321,0.03,0,"T_CD8_c07-TYROBP","KLRC2"
"EFHD2",0,1.1033405032131,0.621,0.285,0,"T_CD8_c07-TYROBP","EFHD2"
"LITAF",0,1.09457419192761,0.926,0.65,0,"T_CD8_c07-TYROBP","LITAF"
"KIR2DL3",0,1.08650459958212,0.352,0.056,0,"T_CD8_c07-TYROBP","KIR2DL3"
"GZMM",0,1.08522191535029,0.822,0.423,0,"T_CD8_c07-TYROBP","GZMM"
"PRSS23",0,1.07927345981872,0.456,0.113,0,"T_CD8_c07-TYROBP","PRSS23"
"CCL4",0,1.05723956867655,0.674,0.22,0,"T_CD8_c07-TYROBP","CCL4"
"LAIR2",0,1.05536569226374,0.39,0.111,0,"T_CD8_c07-TYROBP","LAIR2"
"KIR3DL2",0,1.05216923166426,0.325,0.043,0,"T_CD8_c07-TYROBP","KIR3DL2"
"HCST",0,1.0466485492547,0.919,0.687,0,"T_CD8_c07-TYROBP","HCST"
"TRDJ1",0,1.016648196309,0.307,0.033,0,"T_CD8_c07-TYROBP","TRDJ1"
"C1orf21",0,1.01510937257023,0.446,0.121,0,"T_CD8_c07-TYROBP","C1orf21"
"KIR3DL1",0,0.996562912293573,0.222,0.034,0,"T_CD8_c07-TYROBP","KIR3DL1"
"SYNGR1",0,0.937962783382516,0.325,0.079,0,"T_CD8_c07-TYROBP","SYNGR1"
"CD99",0,0.937539389898139,0.921,0.699,0,"T_CD8_c07-TYROBP","CD99"
"MATK",0,0.928432698088916,0.491,0.166,0,"T_CD8_c07-TYROBP","MATK"
"IFITM1",0,0.917464071221195,0.986,0.765,0,"T_CD8_c07-TYROBP","IFITM1"
"TYROBP",0,0.695751498967312,0.861,0.341,0,"T_CD8_c07-TYROBP","TYROBP"
"B2M",0,0.67643106958749,1,1,0,"T_CD8_c07-TYROBP","B2M"
"HLA-C",0,0.652544817899847,0.999,0.987,0,"T_CD8_c07-TYROBP","HLA-C"
"HLA-A",0,0.607856890615337,0.998,0.982,0,"T_CD8_c07-TYROBP","HLA-A"
"RPS8",0,-0.770733231698953,0.996,0.993,0,"T_CD8_c07-TYROBP","RPS8"
"RPS13",0,-0.810114390436339,0.995,0.99,0,"T_CD8_c07-TYROBP","RPS13"
"PABPC1",0,-0.909300818494417,0.901,0.965,0,"T_CD8_c07-TYROBP","PABPC1"
"COTL1",0,-2.0707229031549,0.061,0.496,0,"T_CD8_c07-TYROBP","COTL1"
"LTB",0,-2.65620564258606,0.115,0.597,0,"T_CD8_c07-TYROBP","LTB"
"APMAP",1.63376150358747e-305,1.01505729675268,0.625,0.287,3.69377138346091e-301,"T_CD8_c07-TYROBP","APMAP"
"RPL8",1.70253786723179e-304,-0.64395741704368,0.992,0.989,3.84926786402436e-300,"T_CD8_c07-TYROBP","RPL8"
"KLRC3",6.22488511868456e-304,0.508382224216201,0.142,0.016,1.40738427648339e-299,"T_CD8_c07-TYROBP","KLRC3"
"PFN1",3.16150238415983e-299,0.802804044961706,0.984,0.961,7.14784074034695e-295,"T_CD8_c07-TYROBP","PFN1"
"RPL32",6.02785877850425e-295,-0.674584137470579,0.997,0.992,1.36283859123203e-290,"T_CD8_c07-TYROBP","RPL32"
"ITGB2",2.60351349591671e-290,0.834757054910535,0.935,0.71,5.88628366291808e-286,"T_CD8_c07-TYROBP","ITGB2"
"RPL11",4.58993333243575e-290,-0.594781425987569,0.999,0.994,1.0377380271304e-285,"T_CD8_c07-TYROBP","RPL11"
"F2R",1.65380408628008e-286,0.824114029336348,0.336,0.091,3.73908565867064e-282,"T_CD8_c07-TYROBP","F2R"
"RPL18A",8.77119521998533e-284,-0.632081848396631,0.994,0.99,1.98307952728648e-279,"T_CD8_c07-TYROBP","RPL18A"
"SH2D2A",9.31186243872718e-284,1.03572559850294,0.552,0.229,2.10531897877183e-279,"T_CD8_c07-TYROBP","SH2D2A"
"RPL13",2.0786151519502e-282,-0.62383823569089,0.999,0.994,4.6995409970442e-278,"T_CD8_c07-TYROBP","RPL13"
"CMC1",1.16674074093002e-279,1.17598213357426,0.496,0.195,2.63788414116868e-275,"T_CD8_c07-TYROBP","CMC1"
"CX3CR1",2.07128021712481e-276,1.03454395968121,0.432,0.146,4.68295744289748e-272,"T_CD8_c07-TYROBP","CX3CR1"
"IL7R",6.69421133292824e-276,-2.27904642933448,0.07,0.467,1.51349424026175e-271,"T_CD8_c07-TYROBP","IL7R"
"CFL1",7.45242384586164e-272,0.659938388166167,0.978,0.936,1.68491850731086e-267,"T_CD8_c07-TYROBP","CFL1"
"TBX21",6.01920034277047e-267,0.875632590517293,0.321,0.088,1.36088100549698e-262,"T_CD8_c07-TYROBP","TBX21"
"SH3BGRL3",5.52089710174514e-262,0.628928136163402,0.99,0.94,1.24821962573356e-257,"T_CD8_c07-TYROBP","SH3BGRL3"
"TPT1",9.48491406250267e-259,-0.64346562394369,0.995,0.993,2.14444422039123e-254,"T_CD8_c07-TYROBP","TPT1"
"SH2D1B",4.31984588512999e-257,0.781968201502602,0.276,0.067,9.7667395616904e-253,"T_CD8_c07-TYROBP","SH2D1B"
"IL32",1.06756958107913e-253,0.906028782161579,0.884,0.625,2.4136680658618e-249,"T_CD8_c07-TYROBP","IL32"
"CALM1",6.91454954072828e-253,0.669160151020415,0.966,0.904,1.56331050566326e-248,"T_CD8_c07-TYROBP","CALM1"
"ZAP70",1.26644558778894e-248,0.881590343899985,0.693,0.386,2.86330682943201e-244,"T_CD8_c07-TYROBP","ZAP70"
"RPS9",5.81307764836535e-248,-0.581883721593181,0.971,0.975,1.31427872551892e-243,"T_CD8_c07-TYROBP","RPS9"
"NCR1",1.05775558334718e-244,0.601683611940604,0.216,0.044,2.39147959838963e-240,"T_CD8_c07-TYROBP","NCR1"
"ARPC2",2.73809579862898e-240,0.677613389834314,0.943,0.852,6.19056079112026e-236,"T_CD8_c07-TYROBP","ARPC2"
"PTGDR",4.15256147701659e-240,0.763651804545309,0.31,0.088,9.3885262433868e-236,"T_CD8_c07-TYROBP","PTGDR"
"RPLP1",2.80105376688128e-238,-0.521420117286988,0.999,0.996,6.33290246154189e-234,"T_CD8_c07-TYROBP","RPLP1"
"RPL39",3.66096341485945e-238,-0.605529417680311,0.994,0.99,8.27707218465572e-234,"T_CD8_c07-TYROBP","RPL39"
"RPL28",1.6047031672431e-236,-0.429972669096951,0.998,0.994,3.62807339081993e-232,"T_CD8_c07-TYROBP","RPL28"
"APOBEC3G",4.5419110015244e-235,0.97331415753411,0.551,0.263,1.02688065833465e-230,"T_CD8_c07-TYROBP","APOBEC3G"
"RARRES3",8.14359891888969e-233,0.856836608344866,0.794,0.546,1.84118627957177e-228,"T_CD8_c07-TYROBP","RARRES3"
"RPS23",4.12966972989007e-230,-0.539993999264052,0.996,0.991,9.33677029230846e-226,"T_CD8_c07-TYROBP","RPS23"
"HLA-B",3.11334550716191e-226,0.556452379314578,0.999,0.994,7.03896285714236e-222,"T_CD8_c07-TYROBP","HLA-B"
"CCL4L2",1.81290300844871e-225,0.749022665944597,0.274,0.074,4.09879241180168e-221,"T_CD8_c07-TYROBP","CCL4L2"
"GNG2",1.28598849067627e-223,0.855858773274365,0.69,0.414,2.90749137856998e-219,"T_CD8_c07-TYROBP","GNG2"
"SLC9A3R1",1.86303718328292e-217,0.928772938776939,0.64,0.374,4.21214076768435e-213,"T_CD8_c07-TYROBP","SLC9A3R1"
"RPLP0",1.20885023774659e-215,-0.639769304496057,0.979,0.983,2.73308950252127e-211,"T_CD8_c07-TYROBP","RPLP0"
"EEF2",9.44969747856848e-212,-0.673615367040961,0.921,0.956,2.13648210292955e-207,"T_CD8_c07-TYROBP","EEF2"
"IL2RB",2.57043825613725e-211,0.77930109710589,0.471,0.194,5.81150385330071e-207,"T_CD8_c07-TYROBP","IL2RB"
"RPL18",6.4790382507972e-211,-0.510601661765536,0.997,0.99,1.46484575812274e-206,"T_CD8_c07-TYROBP","RPL18"
"CD63",1.17351449997669e-209,0.886992053944998,0.585,0.315,2.6531989329973e-205,"T_CD8_c07-TYROBP","CD63"
"TPST2",3.20275953785312e-209,0.828958977487917,0.505,0.236,7.24111903913212e-205,"T_CD8_c07-TYROBP","TPST2"
"AC243829.2",3.56938577390181e-209,0.473938078250758,0.129,0.019,8.07002429621461e-205,"T_CD8_c07-TYROBP","AC243829.2"
"NCR3",9.99321895335467e-209,0.832706835438986,0.384,0.143,2.25936687316396e-204,"T_CD8_c07-TYROBP","NCR3"
"RPL19",1.6781774562433e-208,-0.457450397276459,1,0.993,3.79419141082047e-204,"T_CD8_c07-TYROBP","RPL19"
"EEF1A1",3.00075962056507e-205,-0.448573360682013,1,0.997,6.78441742613557e-201,"T_CD8_c07-TYROBP","EEF1A1"
"TIGIT",6.43794415438799e-203,0.739017583159821,0.29,0.088,1.45555479386558e-198,"T_CD8_c07-TYROBP","TIGIT"
"MYL12A",6.63563054434817e-203,0.646433033476153,0.946,0.857,1.50024970977168e-198,"T_CD8_c07-TYROBP","MYL12A"
"RPS5",1.37917536054465e-201,-0.693002536158253,0.971,0.97,3.1181775726554e-197,"T_CD8_c07-TYROBP","RPS5"
"PYHIN1",1.11972827363241e-194,0.826052634564176,0.443,0.189,2.53159365385553e-190,"T_CD8_c07-TYROBP","PYHIN1"
"SYNE1",6.11566121214774e-193,0.850508389990228,0.572,0.301,1.38268984345448e-188,"T_CD8_c07-TYROBP","SYNE1"
"RPL12",1.08380394785435e-190,-0.495991800816729,0.993,0.987,2.4503723457039e-186,"T_CD8_c07-TYROBP","RPL12"
"PAXX",2.20117310960196e-189,0.808034525964349,0.706,0.481,4.97663228349907e-185,"T_CD8_c07-TYROBP","PAXX"
"GNPTAB",3.07588096341943e-189,0.835272007782837,0.385,0.156,6.95425927019498e-185,"T_CD8_c07-TYROBP","GNPTAB"
"RPL34",7.83792912614582e-189,-0.502951820624133,0.999,0.992,1.77207739613031e-184,"T_CD8_c07-TYROBP","RPL34"
"GPR141",1.06992064023989e-187,0.545172225520289,0.183,0.041,2.41898357551836e-183,"T_CD8_c07-TYROBP","GPR141"
"RPL22",2.16805625405292e-187,-0.576085523219361,0.96,0.972,4.90175838478825e-183,"T_CD8_c07-TYROBP","RPL22"
"RPS18",2.67664398558947e-187,-0.563651145897873,0.993,0.987,6.05162438701923e-183,"T_CD8_c07-TYROBP","RPS18"
"RACK1",4.34134957592596e-186,-0.475838296143807,0.981,0.98,9.81535725621101e-182,"T_CD8_c07-TYROBP","RACK1"
"RAP1B",5.53459402823701e-185,0.672049182575856,0.798,0.625,1.25131636384411e-180,"T_CD8_c07-TYROBP","RAP1B"
"NCF1",1.38577514834556e-183,-1.4766530176413,0.025,0.328,3.13309903289448e-179,"T_CD8_c07-TYROBP","NCF1"
"RGS9",2.69312000959066e-183,0.505642210768365,0.168,0.036,6.08887502968353e-179,"T_CD8_c07-TYROBP","RGS9"
"RPL9",3.06517132538589e-182,-0.563087641287326,0.974,0.979,6.93004584956496e-178,"T_CD8_c07-TYROBP","RPL9"
"PLEK",7.66642675496908e-182,0.797368498183106,0.619,0.347,1.73330242503096e-177,"T_CD8_c07-TYROBP","PLEK"
"TRBJ2-3",8.95909103809503e-182,0.8083569498118,0.29,0.097,2.0255608928029e-177,"T_CD8_c07-TYROBP","TRBJ2-3"
"TGFBR3",5.05413036191559e-181,0.80377206604254,0.392,0.16,1.1426883335255e-176,"T_CD8_c07-TYROBP","TGFBR3"
"HLA-E",2.538636573832e-180,0.460079615825877,0.991,0.975,5.73960342977677e-176,"T_CD8_c07-TYROBP","HLA-E"
"ARPC5L",9.57493505956966e-180,0.816263284929595,0.561,0.316,2.1647970676181e-175,"T_CD8_c07-TYROBP","ARPC5L"
"RPL4",3.25962312352732e-174,-0.627314357205218,0.91,0.954,7.36968191998292e-170,"T_CD8_c07-TYROBP","RPL4"
"CD3E",5.69260767254751e-174,0.665522998761904,0.915,0.612,1.28704166868627e-169,"T_CD8_c07-TYROBP","CD3E"
"SYTL3",7.14404631818602e-174,0.785620500320961,0.482,0.234,1.61519743207868e-169,"T_CD8_c07-TYROBP","SYTL3"
"SAMD3",9.7103229616485e-174,0.745535553305765,0.47,0.217,2.19540691839911e-169,"T_CD8_c07-TYROBP","SAMD3"
"DSTN",3.35014832649632e-173,0.850658886086254,0.531,0.301,7.57435035137552e-169,"T_CD8_c07-TYROBP","DSTN"
"CEP78",1.54908820552269e-172,0.76792085647653,0.317,0.116,3.50233352386626e-168,"T_CD8_c07-TYROBP","CEP78"
"RPL29",2.03656342730787e-172,-0.428130902190787,0.994,0.989,4.60446625280036e-168,"T_CD8_c07-TYROBP","RPL29"
"CHST12",2.87329451575453e-166,0.771717592672575,0.45,0.216,6.49623157066941e-162,"T_CD8_c07-TYROBP","CHST12"
"ZEB2",3.03094143433362e-166,0.754256684364438,0.629,0.357,6.85265548888488e-162,"T_CD8_c07-TYROBP","ZEB2"
"CCR7",1.13564498784706e-164,-1.47142274961766,0.014,0.29,2.56757975302342e-160,"T_CD8_c07-TYROBP","CCR7"
"TMSB4X",1.10521509306977e-163,0.384369461342851,1,0.996,2.49878080392145e-159,"T_CD8_c07-TYROBP","TMSB4X"
"RPL30",3.02896857311222e-163,-0.438187020076645,1,0.994,6.84819504694942e-159,"T_CD8_c07-TYROBP","RPL30"
"PTGDS",3.46995763529357e-163,1.17998847437401,0.174,0.042,7.84522721763524e-159,"T_CD8_c07-TYROBP","PTGDS"
"TSEN54",2.12317766533438e-162,0.737632349852186,0.419,0.195,4.8002923835545e-158,"T_CD8_c07-TYROBP","TSEN54"
"UBB",2.76246004387221e-162,0.636012947257928,0.885,0.776,6.24564591319069e-158,"T_CD8_c07-TYROBP","UBB"
"PLEKHF1",1.64770294979086e-161,0.694859007805511,0.297,0.107,3.72529159918216e-157,"T_CD8_c07-TYROBP","PLEKHF1"
"CD300A",2.88048756038476e-161,0.738758258385857,0.404,0.183,6.5124943252739e-157,"T_CD8_c07-TYROBP","CD300A"
"CYBA",6.69145909744383e-159,0.743643721447028,0.851,0.687,1.51287198734107e-154,"T_CD8_c07-TYROBP","CYBA"
"KIR3DX1",6.84966683684257e-159,0.413638772540093,0.108,0.018,1.54864117514174e-154,"T_CD8_c07-TYROBP","KIR3DX1"
"BIN2",1.10536864362199e-156,0.697584565222428,0.726,0.528,2.49912796636495e-152,"T_CD8_c07-TYROBP","BIN2"
"RPS12",1.56801020659777e-156,-0.514597159861816,1,0.994,3.5451142760969e-152,"T_CD8_c07-TYROBP","RPS12"
"RPLP2",6.00697622312568e-156,-0.415494219411027,0.993,0.988,1.35811725428648e-151,"T_CD8_c07-TYROBP","RPLP2"
"ABI3",1.66761650047084e-154,0.726256246700019,0.398,0.181,3.77031414591452e-150,"T_CD8_c07-TYROBP","ABI3"
"AKR1C3",3.48845040272407e-153,0.551011470124412,0.19,0.051,7.88703751551884e-149,"T_CD8_c07-TYROBP","AKR1C3"
"TRGC1",1.37432219698514e-152,0.523574755357226,0.18,0.046,3.10720505516369e-148,"T_CD8_c07-TYROBP","TRGC1"
"RUNX3",2.36598573460048e-152,0.760647457201809,0.5,0.276,5.34925714735822e-148,"T_CD8_c07-TYROBP","RUNX3"
"SYNE2",1.26657994328094e-150,0.73896123536463,0.607,0.359,2.86361059376388e-146,"T_CD8_c07-TYROBP","SYNE2"
"SRGN",3.70829483385971e-150,0.510316172054071,0.944,0.733,8.38408378987342e-146,"T_CD8_c07-TYROBP","SRGN"
"NCAM1",2.45949243471735e-149,0.461143434750671,0.15,0.034,5.56066644565246e-145,"T_CD8_c07-TYROBP","NCAM1"
"LGALS1",3.72520439484406e-149,0.67634403934064,0.746,0.462,8.42231461630294e-145,"T_CD8_c07-TYROBP","LGALS1"
"RPL36",3.93247918838893e-149,-0.517584669387626,0.975,0.977,8.89094219702852e-145,"T_CD8_c07-TYROBP","RPL36"
"RPL10",8.74683490328367e-149,-0.384593471530057,1,0.996,1.9775719032834e-144,"T_CD8_c07-TYROBP","RPL10"
"CAMK4",1.08373360637659e-148,-1.03290738563149,0.022,0.283,2.45021331065684e-144,"T_CD8_c07-TYROBP","CAMK4"
"LSP1",5.05790284499291e-148,0.536837622057416,0.912,0.817,1.14354125422445e-143,"T_CD8_c07-TYROBP","LSP1"
"TMEM123",6.96099636880094e-147,-0.841849124683886,0.171,0.475,1.5738116690222e-142,"T_CD8_c07-TYROBP","TMEM123"
"AIF1",7.99264642654135e-147,-2.0519616636043,0.019,0.271,1.80705743057673e-142,"T_CD8_c07-TYROBP","AIF1"
"RPL35A",1.71206441330667e-146,-0.425582222629362,0.992,0.99,3.87080643204506e-142,"T_CD8_c07-TYROBP","RPL35A"
"PLA2G16",9.52112908067165e-146,0.622362374524183,0.294,0.113,2.15263207384905e-141,"T_CD8_c07-TYROBP","PLA2G16"
"AOAH",2.43257969559017e-145,0.760492616922795,0.418,0.203,5.49981943375981e-141,"T_CD8_c07-TYROBP","AOAH"
"RNASET2",1.07372775552861e-144,-0.876753258007449,0.24,0.537,2.42759108247463e-140,"T_CD8_c07-TYROBP","RNASET2"
"CD244",4.65120005300649e-144,0.596050585657838,0.259,0.092,1.05158981998424e-139,"T_CD8_c07-TYROBP","CD244"
"RPS3A",6.12693032572755e-144,-0.479518020120285,0.996,0.992,1.38523767734374e-139,"T_CD8_c07-TYROBP","RPS3A"
"RPL7",1.18925402096277e-143,-0.53311058320086,0.884,0.937,2.68878441599474e-139,"T_CD8_c07-TYROBP","RPL7"
"RHOC",2.39410681588334e-143,0.625087352797282,0.345,0.145,5.41283610003065e-139,"T_CD8_c07-TYROBP","RHOC"
"SLA2",2.53955037002056e-143,0.686414302613731,0.325,0.132,5.74166943157948e-139,"T_CD8_c07-TYROBP","SLA2"
"TCF7",9.26080351006268e-142,-1.15134292239804,0.05,0.309,2.09377506559007e-137,"T_CD8_c07-TYROBP","TCF7"
"EEF1B2",1.3133458337916e-141,-0.610260232122484,0.933,0.949,2.96934359561943e-137,"T_CD8_c07-TYROBP","EEF1B2"
"LAG3",8.53880582906843e-141,0.551104916621245,0.218,0.069,1.93053860989408e-136,"T_CD8_c07-TYROBP","LAG3"
"OSBPL5",1.37747151376121e-140,0.539723611946351,0.194,0.057,3.11432534546272e-136,"T_CD8_c07-TYROBP","OSBPL5"
"PPP2R2B",2.67078090779224e-139,0.507470973160957,0.208,0.064,6.03836855442748e-135,"T_CD8_c07-TYROBP","PPP2R2B"
"RPS28",1.72164468438248e-138,-0.447493405067753,0.995,0.991,3.89246646692036e-134,"T_CD8_c07-TYROBP","RPS28"
"FLNA",4.22276915090449e-138,0.711646745033664,0.766,0.58,9.54725877327995e-134,"T_CD8_c07-TYROBP","FLNA"
"PTPRCAP",4.72041790362828e-138,0.574899434830458,0.851,0.651,1.06723928383132e-133,"T_CD8_c07-TYROBP","PTPRCAP"
"RPL10A",7.8803186576681e-138,-0.493362805069149,0.97,0.968,1.78166124531218e-133,"T_CD8_c07-TYROBP","RPL10A"
"RPL5",2.96274094241279e-136,-0.490335988205617,0.987,0.982,6.69846099670107e-132,"T_CD8_c07-TYROBP","RPL5"
"S100A4",6.55590165275144e-136,0.449420593093987,0.971,0.777,1.48222380467057e-131,"T_CD8_c07-TYROBP","S100A4"
"SELL",3.7648908716806e-135,-0.940082444774905,0.188,0.475,8.51204177178267e-131,"T_CD8_c07-TYROBP","SELL"
"CTSC",1.0369382731632e-133,0.651227230236563,0.618,0.399,2.34441374179467e-129,"T_CD8_c07-TYROBP","CTSC"
"TRBJ2-2P",1.29574673540247e-132,0.507683325176351,0.122,0.026,2.92955379407145e-128,"T_CD8_c07-TYROBP","TRBJ2-2P"
"ITGAL",3.21271633050916e-132,0.710887163675579,0.489,0.275,7.26363035164817e-128,"T_CD8_c07-TYROBP","ITGAL"
"CLIC1",3.30315474714928e-132,0.560221105370812,0.857,0.684,7.4681025678298e-128,"T_CD8_c07-TYROBP","CLIC1"
"KLRC1",8.63473612843874e-132,0.825995018233555,0.194,0.059,1.95222749127872e-127,"T_CD8_c07-TYROBP","KLRC1"
"RPS6",1.91250711649834e-129,-0.46245314227131,0.99,0.984,4.3239873396911e-125,"T_CD8_c07-TYROBP","RPS6"
"RASSF1",3.21059232074118e-129,0.739386800137007,0.438,0.238,7.25882817796373e-125,"T_CD8_c07-TYROBP","RASSF1"
"GTF3C1",5.72683467500273e-129,0.651532636999587,0.325,0.14,1.29478005167137e-124,"T_CD8_c07-TYROBP","GTF3C1"
"DOK2",2.24044823376749e-128,0.667426799501262,0.553,0.342,5.06542941172491e-124,"T_CD8_c07-TYROBP","DOK2"
"MYL6",6.32887497253765e-128,0.445480917778697,0.96,0.888,1.43089534254104e-123,"T_CD8_c07-TYROBP","MYL6"
"LINC01871",7.9721994193249e-127,0.568721237385422,0.261,0.099,1.80243456671517e-122,"T_CD8_c07-TYROBP","LINC01871"
"PRDM1",8.7634489098746e-126,0.627277260625148,0.323,0.139,1.98132816403355e-121,"T_CD8_c07-TYROBP","PRDM1"
"CLEC2B",8.51518390752799e-125,0.682056291113135,0.604,0.412,1.925197929653e-120,"T_CD8_c07-TYROBP","CLEC2B"
"RAC2",7.6160210307626e-124,0.528645816768257,0.891,0.818,1.72190619484512e-119,"T_CD8_c07-TYROBP","RAC2"
"CD7",3.24992626672523e-122,0.568586790506483,0.763,0.517,7.34775829643906e-118,"T_CD8_c07-TYROBP","CD7"
"RPS25",4.20630411050373e-121,-0.437630360196042,0.991,0.984,9.51003296343789e-117,"T_CD8_c07-TYROBP","RPS25"
"MYL12B",5.94604075102225e-121,0.516619215907627,0.867,0.775,1.34434035339862e-116,"T_CD8_c07-TYROBP","MYL12B"
"ASCL2",6.54219855383371e-121,0.583841462356705,0.185,0.059,1.47912567103626e-116,"T_CD8_c07-TYROBP","ASCL2"
"LEF1",5.23273285696342e-119,-1.03717260890945,0.027,0.246,1.18306857163086e-114,"T_CD8_c07-TYROBP","LEF1"
"AC116366.3",3.19943652938189e-118,0.64701093449321,0.388,0.201,7.23360604927952e-114,"T_CD8_c07-TYROBP","AC116366.3"
"PTMS",7.63758162353751e-118,0.546632274408724,0.183,0.058,1.72678082926559e-113,"T_CD8_c07-TYROBP","PTMS"
"EIF3E",3.28088028836199e-117,-0.648807873628119,0.475,0.711,7.41774224395762e-113,"T_CD8_c07-TYROBP","EIF3E"
"DHRS7",6.96607196559783e-117,0.675724604691747,0.57,0.386,1.57495921070201e-112,"T_CD8_c07-TYROBP","DHRS7"
"MCTP2",8.33334027156347e-117,0.629691641023981,0.279,0.113,1.88408490199778e-112,"T_CD8_c07-TYROBP","MCTP2"
"PPP1R18",8.38070210058506e-117,0.66046640123187,0.611,0.428,1.89479293792128e-112,"T_CD8_c07-TYROBP","PPP1R18"
"IFNGR2",3.23345920059426e-116,-0.796731655019931,0.005,0.21,7.31052790662357e-112,"T_CD8_c07-TYROBP","IFNGR2"
"MCUB",3.24256872939556e-116,-0.689565562906738,0.14,0.406,7.33112364029042e-112,"T_CD8_c07-TYROBP","MCUB"
"ADAM8",3.9905582187091e-116,0.627891977763412,0.387,0.199,9.02225307667941e-112,"T_CD8_c07-TYROBP","ADAM8"
"PPP1CA",1.01980887070232e-115,0.605833667070387,0.723,0.581,2.30568587577087e-111,"T_CD8_c07-TYROBP","PPP1CA"
"PRKCH",1.32545836016704e-115,0.620579573293135,0.554,0.347,2.99672880650167e-111,"T_CD8_c07-TYROBP","PRKCH"
"RCAN3",5.74246175439429e-115,-0.816831171716221,0.017,0.228,1.29831317805101e-110,"T_CD8_c07-TYROBP","RCAN3"
"LCK",2.52799689820035e-114,0.578129612065019,0.706,0.486,5.71554818714117e-110,"T_CD8_c07-TYROBP","LCK"
"PLP2",1.72560692675874e-113,-0.759970286440787,0.188,0.448,3.90142470070884e-109,"T_CD8_c07-TYROBP","PLP2"
"MYO6",3.04223661071449e-113,0.380526645734529,0.115,0.026,6.87819275316439e-109,"T_CD8_c07-TYROBP","MYO6"
"ARL4C",6.14484658592315e-113,0.643097128255198,0.599,0.398,1.38928836461137e-108,"T_CD8_c07-TYROBP","ARL4C"
"RPL37",7.95859200186869e-113,-0.419990016443784,0.99,0.987,1.79935806570249e-108,"T_CD8_c07-TYROBP","RPL37"
"CD4",1.99717007586697e-112,-0.669990765455171,0.002,0.2,4.51540182452764e-108,"T_CD8_c07-TYROBP","CD4"
"RPS16",3.42125786124177e-112,-0.376048574405668,0.984,0.978,7.73512189848152e-108,"T_CD8_c07-TYROBP","RPS16"
"RPL13A",2.6031204396619e-111,-0.442800870939737,0.959,0.966,5.88539500203158e-107,"T_CD8_c07-TYROBP","RPL13A"
"CD27",3.69448098640485e-111,-0.800466632736316,0.026,0.237,8.35285206216273e-107,"T_CD8_c07-TYROBP","CD27"
"PRR5L",8.38137655904624e-111,0.51855264681919,0.201,0.069,1.89494542623476e-106,"T_CD8_c07-TYROBP","PRR5L"
"ADRB2",8.08184424273737e-110,0.528725713963985,0.234,0.089,1.82722416484049e-105,"T_CD8_c07-TYROBP","ADRB2"
"RPS15A",1.07221295253227e-109,-0.356088803569161,0.998,0.993,2.42416626438021e-105,"T_CD8_c07-TYROBP","RPS15A"
"DBI",1.35190107706069e-108,0.625152127233725,0.655,0.512,3.05651314512651e-104,"T_CD8_c07-TYROBP","DBI"
