entrez cluster avg_diff
1993 MGE-RG1 -3.252593995
1995 MGE-RG1 -1.583254495
1996 MGE-RG1 -4.079374906
1998 MGE-RG1 -1.434331408
9844 MGE-RG1 -1.774959165
91748 MGE-RG1 0.878014113
2013 MGE-RG1 1.362843576
2026 MGE-RG1 -0.661236842
23136 MGE-RG1 -2.075834699
57724 MGE-RG1 -3.019532397
2042 MGE-RG1 -3.743852351
2043 MGE-RG1 0.97135512
2044 MGE-RG1 -1.299202626
2047 MGE-RG1 0.93168702
2058 MGE-RG1 -0.48682295
56605 MGE-RG1 -1.699261584
7813 MGE-RG1 1.550494435
51466 MGE-RG1 -2.538548999
11170 MGE-RG1 1.111731535
92689 MGE-RG1 1.074301531
57579 MGE-RG1 1.166987583
84140 MGE-RG1 1.425472663
23201 MGE-RG1 -3.943888115
165215 MGE-RG1 1.445480823
23272 MGE-RG1 0.9507361
340277 MGE-RG1 1.104755421
646851 MGE-RG1 1.448274465
51571 MGE-RG1 -3.842823338
199870 MGE-RG1 0.820715592
120114 MGE-RG1 -4.76162941
10516 MGE-RG1 2.523442139
10116 MGE-RG1 -4.382697968
143282 MGE-RG1 1.553810465
2260 MGE-RG1 1.553930559
2263 MGE-RG1 2.151670951
55277 MGE-RG1 1.900343444
11259 MGE-RG1 1.215197999
60681 MGE-RG1 1.356914454
55033 MGE-RG1 1.590064996
11328 MGE-RG1 0.360830084
54874 MGE-RG1 -0.670183058
2353 MGE-RG1 0.76392559
2354 MGE-RG1 0.604017319
11167 MGE-RG1 1.00126083
56884 MGE-RG1 1.288164147
284764 MGE-RG1 -0.526799048
53826 MGE-RG1 -0.799881113
7855 MGE-RG1 1.928613424
2549 MGE-RG1 0.624867089
2562 MGE-RG1 -1.774644882
2571 MGE-RG1 -1.914847272
2628 MGE-RG1 1.041622533
2631 MGE-RG1 0.818195419
25801 MGE-RG1 1.601752779
2730 MGE-RG1 0.535331682
2664 MGE-RG1 -1.435884032
2690 MGE-RG1 3.494108345
2746 MGE-RG1 0.778417035
2752 MGE-RG1 0.673373268
8833 MGE-RG1 0.682099462
2776 MGE-RG1 -2.279073161
2782 MGE-RG1 -1.349684362
2817 MGE-RG1 1.911007873
10082 MGE-RG1 1.558909188
338328 MGE-RG1 -4.166492133
2824 MGE-RG1 1.055962172
84059 MGE-RG1 2.149646961
54762 MGE-RG1 1.213029927
2890 MGE-RG1 -4.841221202
2891 MGE-RG1 -5.57447352
2892 MGE-RG1 -2.6489296
373156 MGE-RG1 1.037664753
84163 MGE-RG1 1.068834787
51454 MGE-RG1 1.491300742
3005 MGE-RG1 0.730528893
3030 MGE-RG1 0.680530898
23354 MGE-RG1 1.047845825
54801 MGE-RG1 -0.557120333
3066 MGE-RG1 -0.964363761
50810 MGE-RG1 -1.643053871
283450 MGE-RG1 -1.842249752
3280 MGE-RG1 1.250029851
388585 MGE-RG1 1.379646073
55502 MGE-RG1 -2.565702522
64344 MGE-RG1 0.612305802
192286 MGE-RG1 0.445407293
3148 MGE-RG1 -0.912824436
3149 MGE-RG1 -0.254208898
3157 MGE-RG1 0.686976809
51155 MGE-RG1 -1.297414064
7184 MGE-RG1 0.736201001
3303 MGE-RG1 -0.573044068
3312 MGE-RG1 -0.737968278
3315 MGE-RG1 0.684602688
54768 MGE-RG1 -0.36403998
54768 MGE-RG1 2.003507689
3398 MGE-RG1 -1.444383758
3423 MGE-RG1 0.422802695
10410 MGE-RG1 0.654951715
9742 MGE-RG1 1.644039022
55081 MGE-RG1 1.579639039
80173 MGE-RG1 0.49437922
57560 MGE-RG1 0.686195445
3480 MGE-RG1 -1.099344606
3488 MGE-RG1 0.3507706
152404 MGE-RG1 2.108762284
3321 MGE-RG1 -0.519982888
90865 MGE-RG1 3.651158403
3563 MGE-RG1 0.305832989
3572 MGE-RG1 0.711114048
387597 MGE-RG1 2.124720624
9118 MGE-RG1 -4.920257513
4952 MGE-RG1 -2.694651878
3643 MGE-RG1 -0.732413475
27152 MGE-RG1 1.125116291
84223 MGE-RG1 1.45456589
10788 MGE-RG1 1.778681755
3660 MGE-RG1 1.642821402
3696 MGE-RG1 0.907546617
221037 MGE-RG1 -0.798909498
3727 MGE-RG1 0.49922061
8997 MGE-RG1 -1.791607972
90134 MGE-RG1 0.920837293
3782 MGE-RG1 0.941844392
3786 MGE-RG1 -0.674365036
9665 MGE-RG1 -1.702976655
57577 MGE-RG1 0.543891785
57698 MGE-RG1 -1.779187199
80726 MGE-RG1 1.330258996
57498 MGE-RG1 -1.014383891
23046 MGE-RG1 -3.799982211
3797 MGE-RG1 -2.460092889
3800 MGE-RG1 -0.905410196
3831 MGE-RG1 -1.638084544
9079 MGE-RG1 1.450988426
3945 MGE-RG1 0.439627892
143458 MGE-RG1 1.113491436
3959 MGE-RG1 1.77960445
8994 MGE-RG1 1.810373658
90271 MGE-RG1 1.259734183
388815 MGE-RG1 0.392734062
254559 MGE-RG1 1.343876909
401397 MGE-RG1 1.276400729
9388 MGE-RG1 2.178776641
9516 MGE-RG1 1.756008138
167410 MGE-RG1 2.212199244
4004 MGE-RG1 1.016628951
4012 MGE-RG1 1.505676553
54886 MGE-RG1 -2.878866812
4036 MGE-RG1 2.832170047
55805 MGE-RG1 1.902907484
7804 MGE-RG1 -1.601112896
57554 MGE-RG1 -2.843133181
4045 MGE-RG1 0.659015386
124801 MGE-RG1 -0.513022412
4047 MGE-RG1 0.575235232
26046 MGE-RG1 -2.107449386
116372 MGE-RG1 1.763146619
144363 MGE-RG1 1.243138831
54585 MGE-RG1 1.786728907
NA MGE-RG1 0.474083142
84061 MGE-RG1 1.049490457
4124 MGE-RG1 0.9018403
9448 MGE-RG1 -1.846567005
4135 MGE-RG1 -0.709285809
5597 MGE-RG1 -1.231604358
5599 MGE-RG1 -2.615820126
4137 MGE-RG1 -1.413660587
65108 MGE-RG1 -1.828391008
151963 MGE-RG1 0.880119004
10150 MGE-RG1 1.018288157
4163 MGE-RG1 1.481437636
4172 MGE-RG1 1.222918853
9282 MGE-RG1 1.260930572
4208 MGE-RG1 -1.930118824
84466 MGE-RG1 0.809144509
4211 MGE-RG1 0.812247635
4232 MGE-RG1 0.941632149
4240 MGE-RG1 0.638154759
25834 MGE-RG1 1.985703666
11343 MGE-RG1 1.629273453
23295 MGE-RG1 1.241938082
4257 MGE-RG1 2.084026356
440823 MGE-RG1 -2.144056779
57708 MGE-RG1 0.529846154
145282 MGE-RG1 0.404694523
NA MGE-RG1 -3.95465713
23209 MGE-RG1 1.516250249
8028 MGE-RG1 1.194816269
10962 MGE-RG1 -1.833167403
4301 MGE-RG1 -0.819924403
55329 MGE-RG1 0.977213871
55233 MGE-RG1 0.666181335
79817 MGE-RG1 1.023031903
5891 MGE-RG1 0.915936489
4343 MGE-RG1 1.518401913
758 MGE-RG1 -3.135329984
4358 MGE-RG1 -1.048573174
9902 MGE-RG1 1.124217057
11222 MGE-RG1 1.553771065
4440 MGE-RG1 0.808662505
124540 MGE-RG1 0.84768017
4482 MGE-RG1 -2.470322865
NA MGE-RG1 -1.360419521
23255 MGE-RG1 1.246057803
100652939 MGE-RG1 0.391658096
100463498 MGE-RG1 -0.318587351
100462977 MGE-RG1 0.478672582
4594 MGE-RG1 1.438715332
4651 MGE-RG1 1.056369157
4650 MGE-RG1 -3.345597743
23040 MGE-RG1 -6.006857077
653784 MGE-RG1 -1.171732872
10003 MGE-RG1 -0.298510387
4671 MGE-RG1 -1.446106837
26502 MGE-RG1 -2.414091523
89796 MGE-RG1 -1.652965782
51594 MGE-RG1 1.209259706
26960 MGE-RG1 -1.493289283
100132406 MGE-RG1 1.1802241
25832 MGE-RG1 1.101998665
400818 MGE-RG1 0.419069527
401 MGE-RG1 1.104513972
8648 MGE-RG1 -0.304960594
57447 MGE-RG1 1.651938824
10529 MGE-RG1 1.775081228
257194 MGE-RG1 1.193476527
10783 MGE-RG1 1.992235342
4753 MGE-RG1 -3.384569925
10763 MGE-RG1 2.553153724
63974 MGE-RG1 -6.135647431
23114 MGE-RG1 -3.956163477
4780 MGE-RG1 1.30597674
4781 MGE-RG1 -1.164964532
4784 MGE-RG1 -2.885926993
51068 MGE-RG1 0.885210915
23057 MGE-RG1 -2.455075909
4826 MGE-RG1 1.081166316
64318 MGE-RG1 1.379925881
9241 MGE-RG1 1.67733588
4853 MGE-RG1 1.151028498
64067 MGE-RG1 1.178460631
10577 MGE-RG1 1.496948083
7101 MGE-RG1 1.24040521
8013 MGE-RG1 1.08087001
9315 MGE-RG1 -1.520276135
4745 MGE-RG1 -4.467826834
9378 MGE-RG1 0.383502742
9423 MGE-RG1 2.078553008
8079 MGE-RG1 1.601650567
9891 MGE-RG1 -1.932750371
4925 MGE-RG1 0.736359013
23363 MGE-RG1 1.829514908
132299 MGE-RG1 -1.53454583
114876 MGE-RG1 1.641496257
58505 MGE-RG1 0.909352821
55074 MGE-RG1 1.07175019
23022 MGE-RG1 0.971392207
5066 MGE-RG1 1.298178087
117583 MGE-RG1 1.640777332
5080 MGE-RG1 -0.605146971
27253 MGE-RG1 0.449208486
84333 MGE-RG1 2.106295668
27445 MGE-RG1 -1.270464947
64430 MGE-RG1 0.743326921
5144 MGE-RG1 -1.335530729
5158 MGE-RG1 1.026516947
80310 MGE-RG1 1.868031832
5159 MGE-RG1 2.400796386
2923 MGE-RG1 0.597358424
27295 MGE-RG1 1.673762092
10611 MGE-RG1 1.910746847
54704 MGE-RG1 -4.381756268
10630 MGE-RG1 1.049730936
8682 MGE-RG1 1.413998097
5178 MGE-RG1 1.159135976
80055 MGE-RG1 -1.51419597
5230 MGE-RG1 0.899450886
283209 MGE-RG1 -2.390285257
221692 MGE-RG1 -1.771751992
116154 MGE-RG1 -4.849931685
9678 MGE-RG1 -0.405118229
51105 MGE-RG1 -0.632085417
26227 MGE-RG1 0.740269933
23236 MGE-RG1 -2.346655713
51196 MGE-RG1 0.34082219
23007 MGE-RG1 1.927378061
84898 MGE-RG1 1.648014648
91584 MGE-RG1 -1.831178417
25957 MGE-RG1 0.863175267
9533 MGE-RG1 0.873300071
5445 MGE-RG1 1.422912394
NA MGE-RG1 1.911797454
8613 MGE-RG1 1.801373431
10891 MGE-RG1 2.2190217
9360 MGE-RG1 -1.119127545
23262 MGE-RG1 0.69281169
4659 MGE-RG1 0.349619124
5521 MGE-RG1 -3.582450118
5529 MGE-RG1 -0.469381787
63976 MGE-RG1 1.725240307
5577 MGE-RG1 -4.447455437
8899 MGE-RG1 0.994278172
5660 MGE-RG1 0.913449107
23362 MGE-RG1 0.789791833
NA MGE-RG1 1.682180044
5723 MGE-RG1 1.598737298
58155 MGE-RG1 -0.377580941
5727 MGE-RG1 1.530762704
10728 MGE-RG1 -0.3075895
150928 MGE-RG1 -0.621225802
138639 MGE-RG1 1.437176816
5783 MGE-RG1 0.975166176
5784 MGE-RG1 2.430488828
5789 MGE-RG1 -4.692246966
5792 MGE-RG1 1.447220968
5802 MGE-RG1 -0.794511091
5803 MGE-RG1 0.527161394
25945 MGE-RG1 1.37578305
5836 MGE-RG1 1.564666647
9444 MGE-RG1 0.989005303
201475 MGE-RG1 -1.951882095
11031 MGE-RG1 0.929700286
83452 MGE-RG1 0.882361079
9609 MGE-RG1 1.081522046
9910 MGE-RG1 0.645263212
26064 MGE-RG1 1.173397451
5901 MGE-RG1 -0.955363111
9693 MGE-RG1 0.785427916
153020 MGE-RG1 -2.917625588
9770 MGE-RG1 -1.587594063
23543 MGE-RG1 -1.187310127
55147 MGE-RG1 0.356439448
5926 MGE-RG1 -0.88511075
1827 MGE-RG1 1.4092796
55758 MGE-RG1 -0.360424718
5962 MGE-RG1 0.707494219
65055 MGE-RG1 -3.024251822
5978 MGE-RG1 1.500410144
5981 MGE-RG1 0.925087887
130132 MGE-RG1 0.889327072
387 MGE-RG1 0.499034385
6016 MGE-RG1 1.408117204
196475 MGE-RG1 2.244733521
390 MGE-RG1 -1.321852092
494470 MGE-RG1 -2.210449599
11237 MGE-RG1 -2.052664231
6091 MGE-RG1 -1.472754564
6092 MGE-RG1 -0.832449515
6096 MGE-RG1 1.302210519
NA MGE-RG1 0.338644544
NA MGE-RG1 0.748799737
NA MGE-RG1 0.951288462
NA MGE-RG1 0.717221435
NA MGE-RG1 0.964560811
NA MGE-RG1 1.948747573
NA MGE-RG1 1.47348105
NA MGE-RG1 -0.980793044
NA MGE-RG1 -0.869439503
6102 MGE-RG1 1.996526637
NA MGE-RG1 0.333129301
6137 MGE-RG1 0.69958187
653737 MGE-RG1 -2.013422698
326307 MGE-RG1 0.408799455
100270840 MGE-RG1 -1.684457822
643343 MGE-RG1 -1.025682699
6129 MGE-RG1 0.313398048
6174 MGE-RG1 0.374496538
648000 MGE-RG1 0.314974385
653702 MGE-RG1 0.371878868
6175 MGE-RG1 0.659533752
220717 MGE-RG1 0.588293665
6176 MGE-RG1 0.440492089
6208 MGE-RG1 0.393693071
6228 MGE-RG1 0.415989512
6194 MGE-RG1 0.505595608
6239 MGE-RG1 0.814956583
6252 MGE-RG1 -2.063257274
862 MGE-RG1 -2.140413069
1901 MGE-RG1 1.731228136
6299 MGE-RG1 1.308083769
27164 MGE-RG1 1.005821045
23034 MGE-RG1 2.130862243
23314 MGE-RG1 -2.326737705
388228 MGE-RG1 -2.164382415
6309 MGE-RG1 0.672705235
6319 MGE-RG1 0.439655376
6445 MGE-RG1 -2.411717236
55800 MGE-RG1 -3.336276005
11231 MGE-RG1 -1.428310625
10512 MGE-RG1 -1.258203466
9037 MGE-RG1 1.562189834
6414 MGE-RG1 2.310710359
151011 MGE-RG1 1.08384479
4735 MGE-RG1 0.78080073
6415 MGE-RG1 0.315971887
256987 MGE-RG1 -0.813944512
124925 MGE-RG1 -4.512061066
6422 MGE-RG1 1.542002013
6423 MGE-RG1 1.413051361
23678 MGE-RG1 2.281747028
6451 MGE-RG1 0.822250542
387914 MGE-RG1 -2.682760451
6503 MGE-RG1 -5.777975182
6566 MGE-RG1 0.691958217
6506 MGE-RG1 -2.190738773
6507 MGE-RG1 0.343985764
292 MGE-RG1 1.040171572
222962 MGE-RG1 -1.431225326
6515 MGE-RG1 0.364858497
222553 MGE-RG1 0.907171555
81539 MGE-RG1 -2.217893494
682 MGE-RG1 3.138372507
9353 MGE-RG1 1.788395532
84631 MGE-RG1 1.063294861
6616 MGE-RG1 -2.339350847
641638 MGE-RG1 0.316402605
100130289 MGE-RG1 -1.732052429
54212 MGE-RG1 -3.751193537
6646 MGE-RG1 0.717345069
6651 MGE-RG1 0.478083794
6664 MGE-RG1 -1.856636378
NA MGE-RG1 1.26803306
6657 MGE-RG1 1.464097732
6659 MGE-RG1 -2.222368913
6660 MGE-RG1 0.513285013
55553 MGE-RG1 0.589665568
6662 MGE-RG1 0.969917951
9043 MGE-RG1 0.406415259
6678 MGE-RG1 1.098131905
6683 MGE-RG1 -4.245426071
26010 MGE-RG1 1.093784451
92521 MGE-RG1 1.805517891
79925 MGE-RG1 0.800673411
10927 MGE-RG1 -1.097283649
10418 MGE-RG1 3.237662781
6732 MGE-RG1 -2.174162559
84530 MGE-RG1 -4.548560495
6760 MGE-RG1 0.642690206
84620 MGE-RG1 -5.840965053
NA MGE-RG1 1.328393122
8128 MGE-RG1 -4.453261292
65975 MGE-RG1 0.947779443
27347 MGE-RG1 1.067689923
3925 MGE-RG1 -1.243787254
11075 MGE-RG1 -3.056465773
55342 MGE-RG1 -2.373806332
29966 MGE-RG1 0.407271506
6812 MGE-RG1 -1.739494323
6814 MGE-RG1 1.584717701
134957 MGE-RG1 -2.337448044
27233 MGE-RG1 1.233096194
51111 MGE-RG1 -2.446131969
6840 MGE-RG1 -3.083646266
23345 MGE-RG1 0.977613336
6857 MGE-RG1 -3.2864474
255928 MGE-RG1 -3.347868115
6860 MGE-RG1 -5.053842585
29114 MGE-RG1 -1.338968412
6892 MGE-RG1 0.668745337
57465 MGE-RG1 -0.926196963
10716 MGE-RG1 -4.34389624
123036 MGE-RG1 2.756648885
6925 MGE-RG1 -0.745070164
83439 MGE-RG1 1.790992146
6934 MGE-RG1 1.312378757
6950 MGE-RG1 -0.967557899
26123 MGE-RG1 1.801447718
81550 MGE-RG1 1.223691407
27285 MGE-RG1 0.594227868
10178 MGE-RG1 2.275225856
26011 MGE-RG1 -4.17306379
54386 MGE-RG1 -1.058483899
7029 MGE-RG1 0.756920066
7057 MGE-RG1 -2.809904389
221981 MGE-RG1 -4.513332523
26230 MGE-RG1 -1.951475806
7082 MGE-RG1 1.199644452
9874 MGE-RG1 0.723809907
56889 MGE-RG1 -0.369863434
7009 MGE-RG1 0.914938174
66000 MGE-RG1 -0.413176348
124491 MGE-RG1 0.950070602
91147 MGE-RG1 1.872238944
9168 MGE-RG1 -1.510695545
7114 MGE-RG1 -0.75484141
7115 MGE-RG1 -0.554767213
