entrez cluster avg_diff
10299 RG-early -1.229788998
6167 RG-early 0.254659558
11168 RG-early 0.257044597
8760 RG-early -0.257879776
8503 RG-early 0.261303079
10208 RG-early 0.26180031
10916 RG-early 0.265076948
3344 RG-early 0.268477291
560 RG-early 0.269309028
7168 RG-early 0.270278014
3149 RG-early 0.271455486
9652 RG-early -0.276831578
100270839 RG-early -0.278388075
5591 RG-early -0.278458461
55082 RG-early -0.279303938
6415 RG-early 0.280750358
1108 RG-early -0.285424466
285349 RG-early -0.287447532
5315 RG-early 0.287698611
9169 RG-early 0.288477617
402562 RG-early 0.296493434
387914 RG-early 0.299091842
11057 RG-early -2.285381129
171586 RG-early 1.395224357
58527 RG-early -2.090517007
NA RG-early 0.680010351
NA RG-early 0.974745012
NA RG-early 0.590362129
NA RG-early -2.249410323
NA RG-early 1.229589555
NA RG-early 0.733382028
NA RG-early -1.682265175
10449 RG-early 1.371737487
60 RG-early -0.595857978
62 RG-early -0.61677387
55860 RG-early -1.39431526
10121 RG-early -1.532670139
56999 RG-early 2.316253244
118 RG-early -0.825477251
119 RG-early -0.466645426
23394 RG-early 0.96567046
125061 RG-early 2.131609814
55750 RG-early -2.623889396
27161 RG-early -0.483377456
192669 RG-early 1.090112823
54806 RG-early 1.227425316
10598 RG-early 0.992292063
84962 RG-early 2.396729302
9472 RG-early -0.572292168
10142 RG-early -0.805845522
10327 RG-early -1.914390996
10000 RG-early -1.752359391
219 RG-early 0.403463791
4329 RG-early -0.557600425
219287 RG-early -1.850318588
119504 RG-early 1.033643078
287 RG-early -1.363866833
288 RG-early -1.276563842
23253 RG-early -1.177322082
26057 RG-early -1.287873413
375248 RG-early -1.359546209
57730 RG-early -0.981651822
400986 RG-early -0.986781562
91526 RG-early -1.900825216
56899 RG-early -4.146735747
54443 RG-early 0.774417134
81611 RG-early 0.86587453
1176 RG-early -1.856090338
324 RG-early -2.774670409
334 RG-early -0.69480093
382 RG-early -1.285169586
392 RG-early -1.640500818
9824 RG-early 0.281333148
57584 RG-early -0.842766011
9743 RG-early -2.767528167
9639 RG-early 0.872907006
57492 RG-early -1.271874881
26225 RG-early -2.522771079
10109 RG-early -0.573074423
10777 RG-early -4.558477268
57561 RG-early 0.68985679
440 RG-early 0.604977833
259266 RG-early 0.779123223
80816 RG-early -2.648179916
29028 RG-early 1.026932071
79969 RG-early -1.271295617
85300 RG-early -1.544385247
467 RG-early 0.36234497
468 RG-early 0.734942505
51062 RG-early -4.023541156
481 RG-early 0.866906001
27032 RG-early -2.157998139
517 RG-early 1.017960363
521 RG-early 1.077768735
539 RG-early 1.125304878
535 RG-early -2.419774211
533 RG-early -1.287785451
8992 RG-early 0.529195005
51382 RG-early -0.782072638
10079 RG-early -1.37981909
6311 RG-early -1.772333546
6314 RG-early 0.653934223
26053 RG-early -1.00259766
135152 RG-early 1.085015972
60468 RG-early -1.733471921
577 RG-early -0.767104827
580 RG-early 0.958983931
53335 RG-early -0.725486053
64919 RG-early -3.138122094
10282 RG-early 1.074919223
340542 RG-early -0.485442909
80114 RG-early 0.515953915
332 RG-early 1.091255611
57448 RG-early -0.323952313
659 RG-early -1.493972918
664 RG-early 1.525224308
91653 RG-early 0.853982117
91272 RG-early -1.023484913
2186 RG-early -0.537694933
672 RG-early 0.468401605
8019 RG-early -1.198698397
53339 RG-early 0.780046002
10950 RG-early 1.087991915
701 RG-early 0.72373317
387978 RG-early 1.367334496
89927 RG-early -3.106959497
10485 RG-early 0.772664897
25943 RG-early -2.142873817
9847 RG-early -1.748354084
25871 RG-early -0.887273831
285382 RG-early -1.290989264
81688 RG-early -0.431442568
777 RG-early -3.81646678
781 RG-early -1.590273799
27101 RG-early 1.124248447
801 RG-early -0.719039992
55450 RG-early -1.392424271
23271 RG-early -1.352133911
23261 RG-early -1.913816531
829 RG-early 1.034243718
401237 RG-early -0.278755851
835 RG-early -0.350307232
